Date,BROS,DBA,FARM,JDEP,KC=F,KDP,MDLZ,NSRGY,SBUX,SJM,TAST,WEST
2023-01-17,35.619998931884766,17.380216598510742,4.900000095367432,,151.10000610351562,32.87413787841797,61.82891845703125,113.38549041748047,98.6270980834961,138.3297576904297,,13.539999961853027
2023-01-18,33.630001068115234,17.264938354492188,4.829999923706055,,155.0,32.13808059692383,59.56868362426758,111.740234375,97.01026153564453,133.62295532226562,,12.949999809265137
2023-01-19,34.0,17.167396545410156,4.800000190734863,,154.60000610351562,31.613637924194336,58.895233154296875,112.07843017578125,96.32658386230469,133.5161895751953,,12.920000076293945
2023-01-20,34.0,17.211732864379883,4.880000114440918,,154.8000030517578,31.935670852661133,59.079750061035156,111.66710662841797,97.0472183227539,132.51075744628906,,12.970000267028809
2023-01-23,34.41999816894531,17.185129165649414,4.929999828338623,,158.5500030517578,31.91726303100586,59.37495040893555,111.93218231201172,98.1281967163086,131.41635131835938,,12.930000305175781
2023-01-24,34.2400016784668,17.30040740966797,4.960000038146973,,159.85000610351562,32.18408203125,59.817771911621094,111.4568862915039,98.52548217773438,133.10690307617188,,12.850000381469727
2023-01-25,34.459999084472656,17.344745635986328,4.940000057220459,,162.4499969482422,32.16567611694336,59.96539306640625,112.3343505859375,98.839599609375,133.57847595214844,,13.010000228881836
2023-01-26,35.2599983215332,17.584169387817383,4.800000190734863,,167.14999389648438,32.13808059692383,59.52256774902344,109.1900863647461,100.48416900634766,133.5339813232422,,12.920000076293945
2023-01-27,36.959999084472656,17.61963653564453,4.869999885559082,,169.89999389648438,31.926469802856445,59.70707702636719,108.50456237792969,100.72437286376953,133.48057556152344,,12.8100004196167
2023-01-30,36.529998779296875,17.717180252075195,4.860000133514404,,170.39999389648438,31.944869995117188,59.817771911621094,109.42774200439453,100.15156555175781,134.8863983154297,,12.90999984741211
2023-01-31,38.11000061035156,17.938865661621094,4.880000114440918,,181.75,32.4600944519043,60.37130355834961,111.71281433105469,100.83524322509766,135.9541015625,,13.09000015258789
2023-02-01,38.52000045776367,17.814720153808594,5.010000228881836,,175.89999389648438,32.51530456542969,61.5613899230957,112.1241226196289,101.62057495117188,135.3134765625,,13.079999923706055
2023-02-02,39.93000030517578,17.885662078857422,5.079999923706055,,177.89999389648438,32.395694732666016,61.49681091308594,109.69280242919922,100.84449768066406,133.32937622070312,,13.229999542236328
2023-02-03,38.86000061035156,17.788118362426758,5.039999961853027,,172.8000030517578,32.34048843383789,60.80490493774414,110.35090637207031,96.36355590820312,133.4361114501953,,13.300000190734863
2023-02-06,37.849998474121094,17.7437801361084,5.389999866485596,,175.6999969482422,32.40489959716797,61.044769287109375,109.90303039550781,97.02874755859375,134.9130859375,,13.489999771118164
2023-02-07,38.86000061035156,17.788118362426758,5.269999980926514,,177.0500030517578,32.38650131225586,60.0391845703125,109.42774200439453,98.70101928710938,133.46278381347656,,13.319999694824219
2023-02-08,37.9900016784668,17.841323852539062,5.050000190734863,,175.60000610351562,32.08286666870117,59.77165222167969,109.65625,98.21134948730469,132.47518920898438,,13.0
